"Search entire store here...","Prueba buscando iPhone 12"
"Search results for: '%1'","Resultado de búsqueda para: '%1'"
Position,"Ordenar"
"Desde:","Desde:"
"Hasta 12 cuotas por:"
"Pick up in store","Retiro en tienda"
"free shipping","Envío gratis"
"Available","Disponible"
"Not available","No disponible"
"Shop and pick","Compra y recoge"
"Financing on your bill","Financiación a tu factura"
"Finance your equipment on your Movistar bill","Financia tu equipo en tu factura Movistar"
"Finance your cell phone with 0% interest on credit.","Financia tu celular 0% de interés a crédito."
"0% financing with TDC","Financiación 0% con TDC"
"See more payment information","Ver más información de pago"
"Featured Features","Características destacadas"
"Technical specifications","Especificaciones técnicas"
"A smart way to think about your cell phone","Una forma inteligente de pensar en tu teléfono celular"
"Eco Rating is a seal that evaluates the environmental impact of the entire process of production, use and disposal of your cell phone","Eco Rating es un sello que evalúa el impacto medioambiental de todo el proceso de producción, uso y eliminación de tu teléfono celular"
"month","mes"
"Other cell phones that might interest you","Otros celulares que podrian interesarte"
"%1 and above","%1 y más"
"The requested qty exceeds the maximum qty allowed in shopping cart","La cantidad solicitada excede la cantidad máxima permitida en el carrito de compras"
"The requested qty is not available","La cantidad solicitada no está disponible"
"This is a required field.","Este es un campo obligatorio."
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"Click <a href=""%1"">here</a> to continue shopping.","Haga clic <a href=""%1"">aquí</a> para continuar comprando."
"Product that you are trying to add is not available.", "El producto que intenta agregar no está disponible."
